Table 1
,2014,2015,2016,2017,2018,2019,2020
Australia,19 493.6,20 304.4,16 181.2,20 273.5,20 675.5,20 664.4,22 204.1
Austria,16 867.6,17 560.6,18 625.0,18 974.8,20 416.6,21 946.2,21 753.5
Belgium,17 808.3,17 469.7,18 608.1,19 531.1,20 433.6,21 688.9,22 555.4
Bulgaria,6 615.5,6 744.3,7 255.8,9 027.9,9 546.3,10 742.6,11 047.7
Canada,21 330.9,21 810.5,24 448.9,24 517.1,24 326.0,22 554.1,24 362.7
Chile,7 813.1,6 731.2,9 361.0,9 433.1,9 159.6,10 417.0,10 458.0
Colombia,3 497.6,4 686.2,6 145.0,5 569.5,5 332.8,4 645.9,4 980.6
Costa Rica,,,,,,,15 424.3
Croatia,9 543.8,,8 086.0,9 024.8,9 190.4,10 177.9,9 865.4
Czechia,10 490.3,10 960.2,10 193.6,11 440.5,16 148.1,17 962.6,16 237.3
Denmark,15 626.2,,20 434.9,20 178.8,21 643.3,23 347.4,23 432.0
Estonia,11 964.5,12 906.0,13 043.0,14 523.5,17 484.7,17 243.7,17 930.5
Finland,17 874.6,17 619.9,17 903.9,17 726.4,18 124.2,18 664.8,19 583.0
France,16 353.8,16 257.1,16 477.2,16 870.7,17 403.7,18 702.5,18 879.9
Germany,17 145.0,17 062.7,17 800.3,18 381.7,19 356.3,20 223.2,20 759.9
Greece,3 880.7,4 102.9,,3 300.0,3 499.0,4 300.5,
Hungary,8 647.3,8 815.1,11 508.4,12 719.9,13 759.2,12 478.1,12 097.8
Iceland,11 417.8,12 693.7,14 744.4,15 774.6,15 378.1,17 134.2,16 128.2
Ireland,13 701.8,16 538.7,16 789.7,16 724.3,17 129.5,17 442.3,17 400.4
Israel,13 452.9,10 651.2,11 715.2,11 423.7,12 506.5,12 940.5,12 313.9
Italy,11 438.9,11 318.0,11 808.9,12 166.7,12 281.4,12 568.0,12 663.3
Japan,19 486.8,19 179.9,18 667.7,18 888.4,19 225.4,19 518.6,19 676.0
Korea,,10 267.5,10 531.8,10 621.7,11 432.9,11 395.6,12 225.2
Latvia,8 973.6,10 222.3,7 601.5,8 342.4,10 331.4,12 572.5,13 043.4
Lithuania,10 049.4,9 695.0,7 852.2,8 412.1,9 908.4,11 431.9,13 629.1
Luxembourg,45 800.6,49 516.5,49 523.2,51 851.1,48 827.8,53 233.4,53 421.2
Mexico,8 900.6,8 379.1,7 554.7,6 554.9,7 843.6,7 331.4,5 886.7
Netherlands,19 234.2,19 396.6,19 873.7,20 349.3,20 871.4,21 314.9,21 641.7
New Zealand,14 807.4,14 814.8,15 549.5,16 870.4,17 236.6,18 793.3,19 567.1
Norway,21 009.1,20 552.5,22 448.3,23 852.0,25 463.6,25 943.0,24 374.2
OECD - Average,15 166.8,15 472.5,16 115.0,16 404.4,17 192.9,17 997.6,18 104.7
Poland,8 793.4,9 775.4,9 155.6,10 012.0,11 182.9,13 389.3,14 488.5
Portugal,11 788.3,11 823.4,11 213.8,11 773.6,11 778.2,12 227.6,12 103.8
Romania,5 718.5,6 712.2,6 565.0,7 062.7,7 928.2,9 914.2,9 602.4
Russia,8 925.8,8 177.8,8 538.1,7 312.9,9 024.1,,
Slovak Republic,11 233.5,15 912.0,10 979.7,11 404.5,11 991.8,13 288.3,14 636.7
Slovenia,10 036.8,10 255.7,11 487.9,12 729.9,14 076.5,15 754.6,17 795.2
Spain,12 524.1,12 664.0,12 866.6,13 430.4,13 803.6,14 706.6,14 360.9
Sweden,24 508.8,24 679.2,24 841.3,25 200.3,26 131.8,26 907.3,26 214.7
Türkiye,11 212.3,10 408.8,10 592.4,9 631.1,10 013.3,9 770.9,9 287.8
United Kingdom,24 345.5,26 506.3,26 188.9,28 042.6,29 730.3,30 063.3,29 533.5
United States,29 328.2,30 001.3,31 306.9,33 063.3,34 035.5,35 346.9,36 172.0
